RawMaterial,Description,Manufactur,ManufacturPN,QPA,Vendor#,Vendor name,LeadTime,Usage,FinishedGood
01106088-AL1,PCB FR4 4L 2P X1312 Fender LH Rev:05,,,1,,,121,100,6971-0009-05
01106088-AL1 1,PCB FR4 4L 2P X1312 Fender LH Rev:05,RAYBEN,39000EA,1,12529,Rayben technologies (HK) limited,121,100,6971-0009-05
01106088-AL1 2,PCB FR4 4L 2P X1312 Fender LH Rev:05,ONPRESS,S00432062BTA0,1,12449,Onpress PCB Limited,121,100,6971-0009-05
04-011723-01,S/P Sn96.5/Ag3.0/Cu0.5 TLF-204-111M,TAMURA,TLF-204-111M,0.6,10076,PROVEEDORA DE AISLANTES ELECTRICOS,35,100,6971-0009-05
06210044-AL1,CER CHIP C;100P 5% C0G 0603 50V,,,2,,,154,100,6971-0009-05
06210044-AL1 1,CER CHIP C;100P 5% C0G 0603 50V,VISHAY,VJ0603A101JBAAT31X,2,,,154,100,6971-0009-05
06210044-AL1 2,CER CHIP C;100P 5% C0G 0603 50V,TDK,CGA3E2C0G1H101JT0Y0S,2,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06215690-AL1,CER CHIP C;100P 5% C0G 0603 50V,,,5,,,126,100,6971-0009-05
06215690-AL1 1,CER CHIP C;100P 5% C0G 0603 50V,TDK,CGA3E2C0G1H101JT0Y0S,5,12026,TDK TAIWAN ELECTRONICS CORP.,126,100,6971-0009-05
06215724-AL1,CER CHIP C;0.1U 10% X7R 0805 100V,,,3,,,112,100,6971-0009-05
06215724-AL1 1,CER CHIP C;0.1U 10% X7R 0805 100V,TDK,CGA4J2X7R2A104KT0Y0S,3,12026,TDK TAIWAN ELECTRONICS CORP.,112,100,6971-0009-05
06215724-AL1 2,CER CHIP C;0.1U 10% X7R 0805 100V,MURATA,GCJ21BR72A104KA01L,3,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06215724-AL1 3,CER CHIP C;0.1U 10% X7R 0805 100V,VISHAY,VJ0805Y104KBBBC31X,3,,,112,100,6971-0009-05
06215724-AL1 4,CER CHIP C;0.1U 10% X7R 0805 100V,SAMSUNG,CL21B104KCFWPNE,3,,,112,100,6971-0009-05
06215731-ALC,CER CHIP C;0.01U 10% X7R 0603 100V Auto,,,5,,,112,100,6971-0009-05
06215731-ALC 1,CER CHIP C;0.01U 10% X7R 0603 100V Auto,TDK,CGA3E2X7R2A103KT0Y0S,5,,,112,100,6971-0009-05
06215731-ALC 2,CER CHIP C;0.01U 10% X7R 0603 100V Auto,MURATA,GCJ188R72A103KA01D,5,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06215732-ALC,CER CHIP C;1U 10% X7R 1206 50V,,,13,,,112,100,6971-0009-05
06215732-ALC 1,CER CHIP C;1U 10% X7R 1206 50V,MURATA,GCJ31MR71H105KA12L,13,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06215732-ALC 2,CER CHIP C;1U 10% X7R 1206 50V,TDK,CGA5L3X7R1H105KT0Y0S,13,,,112,100,6971-0009-05
06215733-AL1,CER CHIP C;0.01U 10% X7R 0805 100V,,,6,,,154,100,6971-0009-05
06215733-AL1 1,CER CHIP C;0.01U 10% X7R 0805 100V,MURATA,GCJ216R72A103KA01D,6,13271,"MuRata Electronics North America, I",154,100,6971-0009-05
06215733-AL1 2,CER CHIP C;0.01U 10% X7R 0805 100V,VISHAY,VJ0805Y103KBBBE31,6,,,154,100,6971-0009-05
06215733-AL1 3,CER CHIP C;0.01U 10% X7R 0805 100V,TDK,CGA4F2X7R2A103KT0Y0S,6,12026,TDK TAIWAN ELECTRONICS CORP.,154,100,6971-0009-05
06215757-ALC,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,,,43,,,112,100,6971-0009-05
06215757-ALC 1,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,TAIYOYUDEN,HMK107B7103KAHT,43,,,112,100,6971-0009-05
06215757-ALC 2,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,VISHAY,VJ0603Y103KXBAP31X,43,,,112,100,6971-0009-05
06215757-ALC 3,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,TDK,CGA3E2X7R2A103KT0Y0N,43,,,112,100,6971-0009-05
06215757-ALC 4,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,MURATA,GCM188R72A103KA37D,43,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06215757-ALC 5,CER CHIP C;0.01U 10% X7R 0603 100V AUTO,SAMSUNG,CL10B103KC85PBL,43,,,112,100,6971-0009-05
06215770-ALC,CER CHIP C;0.1U 10% X7R 0603 50V,,,2,,,126,100,6971-0009-05
06215770-ALC 1,CER CHIP C;0.1U 10% X7R 0603 50V,SAMSUNG,CL10B104KB85PBL,2,,,126,100,6971-0009-05
06215770-ALC 2,CER CHIP C;0.1U 10% X7R 0603 50V,VISHAY,VJ0603Y104KXAAC31X,2,,,126,100,6971-0009-05
06215770-ALC 3,CER CHIP C;0.1U 10% X7R 0603 50V,MURATA,GCM188R71H104KA57D,2,13271,"MuRata Electronics North America, I",126,100,6971-0009-05
06215770-ALC 4,CER CHIP C;0.1U 10% X7R 0603 50V,TDK,CGA3E2X7R1H104KT0Y0N,2,12026,TDK TAIWAN ELECTRONICS CORP.,126,100,6971-0009-05
06216351-AL1,CER CHIP C;0.01U 10% X7R 0402 50V,,,1,,,98,100,6971-0009-05
06216351-AL1 1,CER CHIP C;0.01U 10% X7R 0402 50V,TDK,CGA2B3X7R1H103KT0Y0S,1,,,98,100,6971-0009-05
06216351-AL1 2,CER CHIP C;0.01U 10% X7R 0402 50V,YAGEO,AC0402KRX7R9BB103,1,,,98,100,6971-0009-05
06216351-AL1 3,CER CHIP C;0.01U 10% X7R 0402 50V,MURATA,GCM155R71H103KA55D,1,,,98,100,6971-0009-05
06216351-AL1 4,CER CHIP C;0.01U 10% X7R 0402 50V,TAIYOYUDEN,MCASU105SB7103KFNA01,1,,,98,100,6971-0009-05
06216351-AL1 5,CER CHIP C;0.01U 10% X7R 0402 50V,WALSIN,MT15B103K500CT,1,,,98,100,6971-0009-05
06216351-AL1 6,CER CHIP C;0.01U 10% X7R 0402 50V,SAMSUNG,CL05B103KB5VPNC,1,,,98,100,6971-0009-05
06216351-AL1 7,CER CHIP C;0.01U 10% X7R 0402 50V,FENGHUA,AM02B103K500AT,1,,,98,100,6971-0009-05
06216351-AL1 8,CER CHIP C;0.01U 10% X7R 0402 50V,VIIYONG,A103K0402X7R500NBT,1,,,98,100,6971-0009-05
06220098-ALC,CER CHIP C;0.22U 10% X7R 0603 50V,,,1,,,126,100,6971-0009-05
06220098-ALC 1,CER CHIP C;0.22U 10% X7R 0603 50V,MURATA,GCM188R71H224KA64D,1,,,126,100,6971-0009-05
06220098-ALC 2,CER CHIP C;0.22U 10% X7R 0603 50V,TDK,CGA3E3X7R1H224KT0Y0N,1,,,126,100,6971-0009-05
06220098-ALC 3,CER CHIP C;0.22U 10% X7R 0603 50V,TAIYOYUDEN,UMK107 C7224KAHTE,1,,,126,100,6971-0009-05
06225696-ALC,CER CHIP C;2.2U 10% X7R 0805 25V,,,2,,,112,100,6971-0009-05
06225696-ALC 1,CER CHIP C;2.2U 10% X7R 0805 25V,MURATA,GCJ21BR71E225KA01L,2,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06225696-ALC 2,CER CHIP C;2.2U 10% X7R 0805 25V,TDK,CGA4J3X7R1E225KT0Y0S,2,,,112,100,6971-0009-05
06225696-ALC 3,CER CHIP C;2.2U 10% X7R 0805 25V,IHHEC,ACC0805X225K025TX,2,,,112,100,6971-0009-05
06225734-ALC,CER CHIP C;2.2U 10% X7R 1206 50V,,,2,,,112,100,6971-0009-05
06225734-ALC 1,CER CHIP C;2.2U 10% X7R 1206 50V,MURATA,GCJ31CR71H225KA12L,2,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06225734-ALC 2,CER CHIP C;2.2U 10% X7R 1206 50V,TDK,CGA5L3X7R1H225KT0Y0S,2,,,112,100,6971-0009-05
06225750-ALC,CER CHIP C;0.022U 10% X7R 0603 100V,,,2,,,112,100,6971-0009-05
06225750-ALC 1,CER CHIP C;0.022U 10% X7R 0603 100V,YAGEO,AC0603KRX7R0BB223,2,10184,YAGEO CORPORATION,112,100,6971-0009-05
06225750-ALC 2,CER CHIP C;0.022U 10% X7R 0603 100V,TAIYOYUDEN,HMK107B7223KAHT,2,,,112,100,6971-0009-05
06225750-ALC 3,CER CHIP C;0.022U 10% X7R 0603 100V,SAMSUNG,CL10B223KC85PBL,2,,,112,100,6971-0009-05
06225750-ALC 4,CER CHIP C;0.022U 10% X7R 0603 100V,MURATA,GCM188R72A223KA37D,2,13271,"MuRata Electronics North America, I",112,100,6971-0009-05
06225750-ALC 5,CER CHIP C;0.022U 10% X7R 0603 100V,TDK,CGA3E2X7R2A223KT0Y0N,2,,,112,100,6971-0009-05
06225750-ALC 6,CER CHIP C;0.022U 10% X7R 0603 100V,VISHAY,VJ0603Y223KXBAP31,2,,,112,100,6971-0009-05
06225768-AL1,CER CHIP C;2200PF 10% X7R 0603 100V,,,1,,,154,100,6971-0009-05
